gene,c,coeff,pval,group,importance
RFC5,POLD2,-0.0015323689332746786,0.9696003583159114,er,7.062668961172247e-5
RFC5,POLD3,0.059535925895060696,0.13835273912428,er,5.5329310662628914e-5
RFC5,POLD4,-0.02874836159491761,0.4745411300522361,er,6.00470083892013e-5
RFC5,RFC2,-0.007207395830586285,0.8577430987874961,er,9.833810450017522e-5
RFC5,RFC3,0.07018893038870144,0.08051060598769132,er,3.398275936479149e-4
RFC5,RFC4,0.061533080025559746,0.1255819724553345,er,5.8358758582216505e-5
RFC5,RFC5,-0.07333695143968774,0.06780129270409645,er,1.764248778456303e-4
RFC5,RPA1,0.06594662600424638,0.10061942470996,er,9.241030369971303e-5
RFC5,RPA4,-0.026323596083984876,0.5126142619314906,er,4.665153949729595e-5
RPA1,EXO1,-0.0062028101193112185,0.8774021416186183,er,3.5496109889074924e-6
RPA1,HMGB1,0.030574647153927013,0.44692050011874984,er,8.512932270752227e-6
RPA1,LIG1,6.657220613221706e-4,0.9867905984816804,er,6.751774640825659e-6
RPA1,MSH2,0.03649208560053831,0.36395836745932453,er,2.9083357266352916e-6
RPA1,MSH5,0.014144801782536739,0.7249927049277614,er,5.132286469841763e-6
RPA1,PCNA,-0.06255854966695112,0.11939078851703694,er,7.185738457656798e-6
RPA1,PMS1,0.026069588599314745,0.5166925632865911,er,3.393536203823766e-6
RPA1,POLD2,-0.055598232805475954,0.16642586937674553,er,3.3938203517611678e-6
RPA1,POLD3,0.00808130885133696,0.8407120857257808,er,3.5698686180878346e-6
RPA1,RFC2,-0.05905884968413144,0.1415462857710328,er,8.152017374676968e-6
RPA1,RFC3,0.04802667988982421,0.23204909315444197,er,1.5141909387071717e-5
RPA1,RFC4,-0.022490979748369822,0.5758792907924142,er,5.313387380142531e-6
RPA1,RFC5,-0.017943703635796667,0.6553879105678699,er,1.4647172728309732e-5
RPA1,RPA1,-0.12174577079244912,0.0023729520294333895,er,2.1410305288748434e-5
RPA1,RPA2,-0.04728064039144216,0.23939046665924577,er,4.082663481782989e-6
RPA2,EXO1,-0.03980141720977147,0.3220566830763457,er,8.804546523518076e-5
RPA2,LIG1,-0.05756808422305797,0.15189001414625278,er,4.96742029795576e-5
RPA2,MSH2,-0.045673766548568945,0.2557538970166935,er,4.297391453833299e-5
RPA2,MSH6,-0.05561057834538149,0.16633162991938874,er,4.7736822704933955e-5
RPA2,PCNA,-7.104303417882693e-4,0.985903576267593,er,2.4738558714859193e-4
RPA2,POLD3,-0.10103899717728777,0.01176032003685958,er,1.2900079186881674e-4
RPA2,RFC2,-0.09708802446411256,0.015509135538502576,er,8.549010085346297e-5
RPA2,RFC3,-0.04648301611659115,0.24741854673807767,er,1.1670710211791623e-4
RPA2,RFC4,-0.08230266199886906,0.04033331132862603,er,1.0557309744297605e-4
RPA2,RFC5,-0.044432357143792976,0.26891534189181415,er,1.2858800066269205e-4
RPA2,RPA1,-0.010695992920637295,0.7902289176947171,er,5.347103465938274e-5
RPA2,RPA2,-0.2356357904127593,2.780106104146059e-9,er,2.3118435291731254e-4
RPA3,EXO1,0.05482410003530912,0.1724155059331325,er,2.808912170995126e-5
